"country","tax","religion","free_election","state_aid","civil_rights","women"
"Argentina","9","4","10","8","10","10"
"Argentina","6","1","10","2","10","10"
"Argentina","6","3","10","8","10","10"
"Argentina","7","1","10","10","10","10"
"Argentina","4","10","10","1","10","10"
"Argentina","1","1","10","1","10","10"
"Argentina","1","1","10","1","10","10"
"Argentina","1","1","10","3","10","10"
"Argentina","2","2","10","3","10","10"
"Argentina","3","2","10","3","10","10"
"Argentina","6","1","10","6","10","10"
"Argentina","7","3","10","8","10","10"
"Argentina","6","3","10","7","10","10"
"Argentina","8","1","10","5","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","7","5","10","7","10","10"
"Argentina","8","5","10","7","10","10"
"Argentina","6","1","10","7","10","10"
"Argentina","7","3","10","7","10","10"
"Argentina","5","1","10","6","10","10"
"Argentina","5","2","10","7","10","10"
"Argentina","7","1","10","1","9","10"
"Argentina","7","4","10","7","10","10"
"Argentina","1","1","1","1","10","10"
"Argentina","5","6","7","5","6","9"
"Argentina","8","8","9","9","8","7"
"Argentina","5","4","1","1","1","1"
"Argentina","10","5","10","10","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","1","6","8","6","8","10"
"Argentina","6","3","4","8","9","9"
"Argentina","10","1","10","6","7","10"
"Argentina","8","1","10","10","10","10"
"Argentina","6","1","10","10","10","10"
"Argentina","7","4","10","10","10","10"
"Argentina","7","7","8","8","7","9"
"Argentina","7","4","10","5","10","10"
"Argentina","2","3","10","2","10","10"
"Argentina","4","1","10","3","10","10"
"Argentina","1","1","10","1","8","10"
"Argentina","2","2","10","2","9","10"
"Argentina","2","1","10","1","10","9"
"Argentina","1","1","10","8","10","5"
"Argentina","1","10","10","1","10","10"
"Argentina","8","1","10","1","10","10"
"Argentina","5","5","10","5","10","10"
"Argentina","1","5","10","5","5","10"
"Argentina","5","5","10","10","10","10"
"Argentina","8","7","10","9","6","10"
"Argentina","4","5","10","6","10","10"
"Argentina","3","5","8","2","8","5"
"Argentina","5","5","5","3","8","10"
"Argentina","10","2","9","9","5","10"
"Argentina","6","2","6","3","7","8"
"Argentina","6","1","9","9","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","10","7","10","10","10","10"
"Argentina","10","5","10","10","10","5"
"Argentina","3","5","10","5","5","5"
"Argentina","10","1","10","10","10","10"
"Argentina","8","1","10","5","8","8"
"Argentina","10","10","10","10","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","10","1","10","5","10","10"
"Argentina","3","1","10","10","10","10"
"Argentina","5","5","10","8","8","8"
"Argentina","2","1","10","10","7","10"
"Argentina","3","3","9","3","5","10"
"Argentina","10","10","10","10","10","10"
"Argentina","4","4","7","4","8","8"
"Argentina","10","10","10","10","10","10"
"Argentina","10","5","10","10","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","8","5","6","4","7","8"
"Argentina","8","1","9","7","8","10"
"Argentina","10","10","10","10","10","10"
"Argentina","5","5","7","8","10","10"
"Argentina","9","9","10","5","10","10"
"Argentina","5","4","5","5","5","6"
"Argentina","10","4","10","10","10","10"
"Argentina","8","6","7","8","10","7"
"Argentina","10","10","10","10","10","10"
"Argentina","7","1","10","8","10","10"
"Argentina","8","1","10","8","10","10"
"Argentina","5","2","10","3","10","10"
"Argentina","7","7","10","7","10","8"
"Argentina","5","9","10","10","10","10"
"Argentina","8","8","8","8","8","8"
"Argentina","10","1","10","10","10","5"
"Argentina","5","5","9","1","10","10"
"Argentina","1","10","10","1","10","10"
"Argentina","8","8","8","8","8","8"
"Argentina","4","5","10","10","10","9"
"Argentina","3","10","10","2","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","1","1","10","3","10","10"
"Argentina","1","1","10","1","10","10"
"Argentina","1","1","10","3","10","10"
"Argentina","3","1","10","2","10","10"
"Argentina","3","3","10","9","10","10"
"Argentina","7","7","7","7","7","7"
"Argentina","7","5","9","9","9","10"
"Argentina","8","1","9","9","9","9"
"Argentina","5","1","10","7","10","10"
"Argentina","8","5","9","7","7","9"
"Argentina","7","2","10","8","10","10"
"Argentina","8","4","5","6","7","10"
"Argentina","10","10","10","10","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","7","6","7","5","3","5"
"Argentina","7","1","10","1","10","10"
"Argentina","6","1","10","1","10","10"
"Argentina","10","5","10","10","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","1","1","10","1","10","10"
"Argentina","9","3","10","5","10","10"
"Argentina","8","1","10","8","10","10"
"Argentina","5","1","10","5","10","10"
"Argentina","8","10","10","6","10","10"
"Argentina","8","1","10","3","10","10"
"Argentina","5","4","10","1","10","10"
"Argentina","5","1","10","6","10","10"
"Argentina","7","1","10","6","8","10"
"Argentina","7","4","10","5","10","10"
"Argentina","7","1","10","5","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","9","5","1","5","8","10"
"Argentina","2","2","5","5","7","10"
"Argentina","7","1","10","10","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","1","1","10","1","8","10"
"Argentina","2","1","10","5","10","10"
"Argentina","2","1","10","1","10","10"
"Argentina","1","2","10","1","8","9"
"Argentina","8","8","10","8","10","10"
"Argentina","3","3","10","2","10","10"
"Argentina","3","1","10","3","9","10"
"Argentina","10","1","10","10","10","10"
"Argentina","10","1","10","10","10","9"
"Argentina","8","5","10","10","8","8"
"Argentina","10","1","10","10","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","3","5","10","5","10","10"
"Argentina","5","6","8","5","5","10"
"Argentina","1","1","10","1","10","10"
"Argentina","5","1","10","1","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","1","1","10","5","10","10"
"Argentina","2","5","10","3","10","10"
"Argentina","1","5","10","8","10","10"
"Argentina","3","3","10","4","10","10"
"Argentina","2","1","10","3","10","10"
"Argentina","5","10","10","10","10","10"
"Argentina","1","10","10","10","10","10"
"Argentina","6","1","10","10","10","10"
"Argentina","10","1","1","1","10","10"
"Argentina","1","1","10","4","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","5","1","10","5","10","10"
"Argentina","1","10","10","10","10","10"
"Argentina","10","10","10","5","1","10"
"Argentina","10","10","10","10","10","10"
"Argentina","1","1","10","10","10","10"
"Argentina","4","8","7","4","10","10"
"Argentina","6","10","10","10","10","10"
"Argentina","1","1","10","10","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","7","3","10","1","8","10"
"Argentina","3","3","10","9","10","10"
"Argentina","5","2","10","6","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","1","1","10","1","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","10","1","10","1","10","10"
"Argentina","5","6","8","8","8","7"
"Argentina","1","1","10","1","10","10"
"Argentina","1","1","10","10","1","10"
"Argentina","5","3","8","7","8","9"
"Argentina","1","1","10","10","10","10"
"Argentina","8","10","10","10","10","10"
"Argentina","3","1","10","1","10","10"
"Argentina","1","1","10","3","10","10"
"Argentina","1","10","10","1","10","10"
"Argentina","1","4","10","4","10","9"
"Argentina","8","4","10","10","10","10"
"Argentina","3","1","10","3","2","10"
"Argentina","7","5","5","6","6","5"
"Argentina","10","7","10","10","10","10"
"Argentina","10","10","10","10","1","10"
"Argentina","1","1","5","5","1","10"
"Argentina","10","8","10","6","10","10"
"Argentina","10","8","10","10","10","10"
"Argentina","5","1","10","1","7","5"
"Argentina","1","1","10","10","10","10"
"Argentina","7","10","10","10","10","10"
"Argentina","7","4","10","7","8","10"
"Argentina","10","7","10","10","10","10"
"Argentina","10","1","10","1","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","1","10","10","1","10","10"
"Argentina","8","8","8","8","10","10"
"Argentina","8","3","10","10","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","8","1","10","10","10","10"
"Argentina","3","3","10","3","10","10"
"Argentina","4","5","8","4","10","10"
"Argentina","8","4","9","8","10","10"
"Argentina","6","3","10","7","10","10"
"Argentina","4","3","10","3","10","10"
"Argentina","1","1","10","1","10","10"
"Argentina","7","4","10","5","10","10"
"Argentina","7","4","10","8","8","8"
"Argentina","1","1","10","1","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","1","10","10","1","9","10"
"Argentina","10","10","10","2","9","10"
"Argentina","10","10","10","10","10","10"
"Argentina","10","10","10","9","10","10"
"Argentina","10","10","10","10","9","10"
"Argentina","8","8","8","6","9","10"
"Argentina","1","10","10","1","10","10"
"Argentina","5","4","9","7","7","7"
"Argentina","5","1","10","10","9","10"
"Argentina","8","8","10","8","8","10"
"Argentina","10","10","10","10","10","10"
"Argentina","7","7","7","7","8","8"
"Argentina","8","7","10","9","10","10"
"Argentina","1","3","10","9","10","10"
"Argentina","1","1","10","1","10","10"
"Argentina","8","8","8","6","8","9"
"Argentina","10","10","10","10","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","1","10","10","10","10","10"
"Argentina","3","10","10","10","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","1","10","10","10","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","8","1","10","5","10","10"
"Argentina","10","1","10","10","10","10"
"Argentina","1","10","10","10","10","10"
"Argentina","5","5","10","10","5","10"
"Argentina","10","1","10","1","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","1","1","10","10","10","10"
"Argentina","1","1","10","1","5","10"
"Argentina","10","10","10","10","10","10"
"Argentina","1","1","9","10","10","10"
"Argentina","7","7","10","7","7","10"
"Argentina","1","1","10","10","10","10"
"Argentina","1","7","10","7","8","10"
"Argentina","9","10","7","10","10","10"
"Argentina","9","7","10","10","10","9"
"Argentina","10","10","10","10","10","10"
"Argentina","7","1","10","6","6","4"
"Argentina","10","10","9","10","10","10"
"Argentina","9","9","10","10","10","8"
"Argentina","9","5","10","9","9","10"
"Argentina","10","4","6","6","6","8"
"Argentina","10","10","10","9","10","10"
"Argentina","10","1","10","2","8","10"
"Argentina","4","8","10","6","9","10"
"Argentina","5","1","10","5","10","10"
"Argentina","6","8","10","8","9","10"
"Argentina","10","1","10","1","10","10"
"Argentina","5","2","10","3","9","9"
"Argentina","5","5","10","10","10","10"
"Argentina","1","1","10","1","10","10"
"Argentina","1","1","10","1","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","6","4","6","8","8","9"
"Argentina","10","1","7","8","10","10"
"Argentina","5","5","10","1","10","10"
"Argentina","1","1","10","1","10","10"
"Argentina","10","4","10","7","1","10"
"Argentina","10","10","10","5","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","5","1","10","1","10","10"
"Argentina","10","3","10","8","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","5","5","5","1","10","10"
"Argentina","10","10","10","10","10","10"
"Argentina","5","5","10","10","5","10"
